,V1,V2
1321,508,508
1322,508,627
1323,509,509
1324,510,510
1325,510,75
1326,511,511
1327,511,418
1328,512,512
1329,513,513
1330,513,615
1331,514,514
1332,515,515
1333,516,516
1334,516,269
1335,516,200
1336,517,517
1337,517,603
1338,517,430
1339,518,518
1340,518,549
1341,519,519
1342,519,68
1343,520,520
1344,520,1076
1345,521,521
1346,522,522
1347,522,196
1348,523,523
1349,523,796
1350,524,524
1351,524,743
1352,524,471
1353,525,525
1354,525,252
1355,525,735
1356,525,409
1357,526,526
1358,527,527
1359,527,438
1360,528,528
1361,529,529
1362,530,530
1363,530,1452
1364,530,521
1365,530,732
1366,531,531
1367,531,214
1368,531,511
1369,531,848
1370,532,532
1371,532,1782
1372,533,533
1373,534,534
1374,534,474
1375,535,535
1376,535,239
1377,535,765
1378,535,431
1379,536,536
1380,536,677
1381,536,431
1382,537,537
1383,538,538
1384,538,232
1385,539,539
1386,539,756
1387,540,540
1388,540,444
1389,541,541
1390,541,1104
1391,542,542
1392,542,789
1393,542,695
1394,543,543
1395,543,59
1396,544,544
1397,544,506
1398,545,545
1399,546,546
1400,547,547
1401,548,548
1402,548,501
1403,549,549
1404,549,795
1405,549,518
1406,550,550
1407,550,268
1408,550,713
1409,551,551
1410,551,682
1411,551,594
1412,552,552
1413,552,449
1414,552,716
1415,553,553
1416,553,240
1417,554,554
1418,554,1436
1419,555,555
1420,555,134
1421,556,556
1422,557,557
1423,558,558
1424,559,559
1425,559,598
1426,559,1117
1427,560,560
1428,560,10
1429,561,561
1430,561,643
1431,562,562
1432,562,596
1433,562,354
1434,563,563
1435,564,564
1436,564,315
1437,564,613
1438,564,90
1439,564,100
1440,565,565
1441,565,10
1442,565,658
1443,565,598
1444,565,434
1445,566,566
1446,566,592
1447,566,622
1448,567,567
1449,568,568
1450,568,1521
1451,569,569
1452,569,334
1453,569,280
1454,570,570
1455,570,591
1456,570,944
1457,570,574
1458,570,286
1459,571,571
1460,571,173
1461,571,97
1462,571,14
1463,572,572
1464,572,34
1465,572,281
1466,573,573
1467,573,631
1468,573,131
1469,573,9
1470,573,291
1471,574,574
1472,574,212
1473,574,591
1474,574,570
1475,574,286
1476,575,575
1477,575,9
1478,576,576
1479,576,1481
1480,576,1181
1481,577,577
1482,578,578
1483,579,579
1484,579,1305
1485,580,580
1486,581,581
1487,582,582
1488,582,602
1489,583,583
1490,583,295
1491,583,296
1492,583,808
1493,584,584
1494,584,602
1495,584,3
1496,584,2
1497,585,585
1498,585,23
1499,585,703
1500,585,641
1501,586,586
1502,586,647
1503,587,587
1504,587,290
1505,587,345
1506,587,65
1507,588,588
1508,588,363
1509,588,370
1510,589,589
1511,589,638
1512,590,590
1513,590,188
1514,590,639
1515,590,43
1516,590,170
1517,591,591
1518,591,574
1519,591,570
1520,591,286
1521,591,212
1522,592,592
1523,592,566
1524,592,1405
1525,593,593
1526,593,289
1527,594,594
1528,594,345
1529,594,86
1530,594,551
1531,595,595
1532,595,46
1533,595,79
1534,595,297
1535,596,596
1536,596,214
1537,596,562
1538,597,597
1539,597,139
1540,598,598
1541,598,66
1542,598,559
1543,598,565
1544,598,692
1545,599,599
1546,599,60
1547,600,600
1548,600,491
1549,600,317
1550,600,474
1551,601,601
1552,601,387
1553,601,1096
1554,602,602
1555,602,584
1556,602,1200
1557,602,582
1558,603,603
1559,603,517
1560,603,389
1561,603,676
1562,604,604
1563,604,730
1564,604,138
1565,604,412
1566,605,605
1567,605,450
1568,606,606
1569,607,607
1570,608,608
1571,608,332
1572,608,41
1573,609,609
1574,610,610
1575,610,1810
1576,611,611
1577,612,612
1578,612,1326
1579,612,1417
1580,613,613
1581,613,564
1582,613,90
1583,614,614
1584,614,28
1585,614,339
1586,615,615
1587,615,204
1588,615,513
1589,615,435
1590,616,616
1591,617,617
1592,618,618
1593,618,708
1594,618,376
1595,618,479
1596,618,43
1597,619,619
1598,619,1093
1599,619,1837
1600,620,620
1601,621,621
1602,621,719
1603,621,314
1604,622,622
1605,622,566
1606,622,321
1607,623,623
1608,623,444
1609,624,624
1610,624,19
1611,624,43
1612,624,302
1613,625,625
1614,625,634
1615,626,626
1616,626,87
1617,627,627
1618,627,1584
1619,628,628
1620,628,86
1621,628,65
1622,628,80
1623,628,55
1624,629,629
1625,630,630
1626,630,29
1627,631,631
1628,631,573
1629,631,83
1630,632,632
1631,632,91
1632,632,597
