,V1,V2
1294,2435,930
1295,2435,1582
1296,2437,295
1297,2440,159
1298,2441,969
1299,2451,1592
1300,2459,827
1301,2460,622
1302,2460,29
1303,2464,771
1304,2467,339
1305,2467,93
1306,2467,28
1307,2467,594
1308,2471,190
1309,2474,1125
1310,2476,949
1311,2481,1349
1312,2482,959
1313,2483,1200
1314,2483,1694
1315,2486,549
1316,2487,1561
1317,2487,1636
1318,2488,1369
1319,2488,1142
1320,2499,114
1321,2500,959
1322,2504,1624
1323,2505,538
1324,2505,593
1325,2509,1199
1326,2518,1173
1327,2520,1612
1328,2520,1029
1329,2526,871
1330,2528,850
1331,2529,1295
1332,2533,1251
1333,2535,1173
1334,2538,1513
1335,2544,189
1336,2548,1612
1337,2548,1295
1338,2549,1278
1339,2552,857
1340,2555,857
1341,2555,1294
1342,2556,1604
1343,2556,992
1344,2558,972
1345,2562,1125
1346,2564,1774
1347,2568,292
1348,2569,1517
1349,2570,1636
1350,2575,808
1351,2575,591
1352,2577,1296
1353,2578,1658
1354,2579,1722
1355,2579,1608
1356,2582,1337
1357,2583,969
1358,2586,1582
1359,2588,1248
1360,2590,969
1361,2597,294
1362,2600,1289
1363,2601,1296
1364,2606,1777
1365,2606,1099
1366,2607,1549
1367,2610,1547
1368,2611,882
1369,2613,992
1370,2615,1314
1371,2621,980
1372,2621,1125
1373,2624,1284
1374,2626,1236
1375,2626,1459
1376,2628,1190
1377,2628,1251
1378,2636,1561
1379,2637,1100
1380,2638,1675
1381,2647,550
1382,2650,1431
1383,2652,1691
1384,2654,294
1385,2655,994
1386,2657,855
1387,2662,1349
1388,2665,289
1389,2666,1459
1390,2668,1499
1391,2669,931
1392,2673,1158
1393,2674,1500
1394,2674,1459
1395,2675,197
1396,2681,1033
1397,2684,1411
1398,2684,1683
1399,2688,1459
1400,2688,1719
1401,2692,207
1402,2693,906
1403,2697,630
1404,2698,1582
1405,2702,1132
1406,2703,1500
1407,2705,1166
1408,2706,1725
1409,2706,913
1410,2715,585
1411,2719,1158
1412,2721,622
1413,2721,29
1414,2726,857
1415,2726,960
1416,2726,1353
1417,2730,1765
1418,2737,879
1419,2740,912
1420,2743,1547
1421,2755,1501
1422,2765,1694
1423,2770,476
1424,2770,873
1425,2776,1149
1426,2776,1560
1427,2776,1230
1428,2778,1719
1429,2782,1561
1430,2783,572
1431,2784,1128
1432,2784,1631
1433,2785,1256
1434,2785,1048
1435,2794,590
1436,2794,170
1437,2794,413
1438,2797,291
1439,2797,323
1440,2797,232
1441,2801,1557
1442,2807,436
1443,2808,590
1444,2813,1000
1445,2817,1731
1446,2820,1798
1447,2823,1574
1448,2824,1719
1449,2825,1686
1450,2827,1045
1451,2830,1036
1452,2830,1685
1453,2832,1579
1454,2841,354
1455,2845,819
1456,2845,1502
1457,2845,1481
1458,2845,854
1459,2847,961
1460,2847,1677
1461,2847,1543
1462,2851,48
1463,2851,638
1464,2851,295
1465,2853,487
1466,2856,712
1467,2857,354
1468,2860,943
1469,2860,850
1470,2866,48
1471,2870,1503
1472,2870,887
1473,2874,712
1474,2878,1145
1475,2880,1372
1476,2880,1596
1477,2881,1073
1478,2882,1125
1479,2884,1299
1480,2884,608
1481,2884,12
1482,2884,1494
1483,2885,1593
1484,2886,879
1485,2887,1226
1486,2888,1137
1487,2889,928
1488,2889,1217
1489,2890,1119
1490,2890,2
1491,2890,681
1492,2890,864
1493,2891,1639
1494,2892,888
1495,2892,1475
1496,2893,26
1497,2894,1341
1498,2895,1346
1499,2896,1382
1500,2898,207
1501,2899,1468
1502,2899,1631
1503,2901,1511
1504,2904,1484
1505,2910,158
1506,2912,560
1507,2912,833
1508,2912,1457
1509,2917,1219
1510,2919,234
1511,2922,1193
1512,2929,1572
1513,2930,585
1514,2930,411
1515,2930,703
1516,2934,26
1517,2937,858
1518,2940,869
1519,2940,1190
1520,2940,1493
1521,2942,592
1522,2943,1654
1523,2944,299
1524,2945,172
1525,2949,812
1526,2953,320
1527,2954,1621
1528,2963,1251
1529,2963,1621
1530,2964,972
1531,2964,1236
1532,2964,1216
1533,2966,1477
1534,2970,1560
1535,2973,1615
1536,2974,1616
1537,2974,1431
1538,2977,875
1539,2979,1468
1540,2981,1528
1541,2986,1555
1542,2986,1519
1543,2986,1234
1544,2986,1509
1545,2987,915
1546,2989,1349
1547,2991,927
1548,2992,630
1549,2993,68
1550,2996,1614
1551,2996,876
1552,2996,951
1553,2996,978
1554,3013,1528
1555,3013,1130
1556,3014,1196
1557,3018,1258
1558,3018,1218
1559,3019,638
1560,3021,501
1561,3022,1526
1562,3022,901
1563,3024,992
1564,3026,1353
1565,3027,1655
1566,3027,1622
1567,3027,1136
1568,3028,1276
1569,3028,871
1570,3030,1636
1571,3030,841
1572,3031,447
1573,3031,1310
1574,3031,564
1575,3033,1259
1576,3033,1451
1577,3047,1317
1578,3047,857
1579,3047,839
1580,3052,1756
1581,3054,1558
1582,3064,1469
1583,3068,1555
1584,3068,1580
1585,3069,37
1586,3069,915
1587,3069,1335
1588,3076,1621
1589,3076,859
1590,3078,839
1591,3078,1528
1592,3078,1153
1593,3079,1552
1594,3080,699
1595,3084,1774
1596,3086,1477
1597,3090,774
1598,3090,1099
1599,3090,1777
1600,3091,1572
1601,3091,1621
1602,3091,859
1603,3094,855
1604,3094,1774
1605,3100,1502
1606,3100,856
1607,3102,1694
1608,3105,1615
1609,3105,982
1610,3108,1295
1611,3108,1716
1612,3116,829
1613,3116,869
1614,3118,859
1615,3118,1293
1616,3118,1198
1617,3120,1262
1618,3121,1649
1619,3121,584
1620,3122,1621
1621,3123,1302
1622,3123,867
1623,3123,299
1624,3124,1477
1625,3125,1756
1626,3128,1347
1627,3131,1546
1628,3132,1527
1629,3132,948
1630,3132,1557
1631,3133,8
1632,3133,291
1633,3134,711
1634,3136,871
1635,3136,1276
1636,3136,841
1637,3145,397
1638,3150,634
1639,3150,592
1640,3153,922
1641,3157,922
1642,3160,1125
1643,3162,1513
1644,3174,987
1645,3175,1210
1646,3177,1615
1647,3179,1241
1648,3180,629
1649,3182,712
1650,3184,782
1651,3187,994
1652,3189,950
1653,3189,869
1654,3192,1155
1655,3197,1309
1656,3197,1230
1657,3201,149
1658,3203,1606
1659,3208,689
1660,3215,1192
1661,3219,1200
1662,3220,951
1663,3220,1196
1664,3220,1382
1665,3220,876
1666,3220,1137
1667,3221,1088
1668,3222,976
1669,3223,1527
1670,3223,894
1671,3234,1300
1672,3235,794
1673,3236,1645
1674,3241,641
1675,3241,703
1676,3241,249
1677,3243,1251
1678,3243,1559
1679,3243,891
1680,3254,1153
1681,3257,976
1682,3259,878
1683,3259,1160
1684,3261,713
1685,3270,894
1686,3275,1309
1687,3278,850
1688,3278,928
1689,3279,1179
1690,3280,305
1691,3286,761
1692,3286,655
1693,3286,259
1694,3289,371
1695,3290,913
1696,3290,1212
1697,3290,659
1698,3290,1245
1699,3290,1020
1700,3298,1625
1701,3299,1049
1702,3302,51
1703,3302,297
1704,3302,46
1705,3303,912
1706,3303,1106
1707,3305,1795
1708,3306,1212
1709,3306,1245
1710,3306,913
1711,3306,659
1712,3306,1020
1713,3309,1839
1714,3309,1756
1715,3311,1774
1716,3318,996
1717,3331,873
1718,3335,1088
1719,3342,1693
1720,3345,1732
1721,3345,1658
1722,3345,1382
1723,3347,1227
1724,3355,982
1725,3364,1245
1726,3365,1004
1727,3366,774
1728,3367,271
1729,3374,1220
1730,3375,76
1731,3375,293
1732,3380,1534
1733,3380,978
1734,3382,826
1735,3386,159
1736,3386,644
1737,3386,3
1738,3390,1150
1739,3390,681
1740,3392,1083
1741,3393,272
1742,3393,294
1743,3394,811
1744,3397,1570
1745,3402,570
1746,3410,678
1747,3413,1497
1748,3414,1118
1749,3421,336
1750,3421,289
1751,3425,809
1752,3429,841
1753,3429,1276
1754,3431,1508
1755,3438,1050
1756,3439,1166
1757,3440,1231
1758,3442,866
1759,3442,1130
1760,3442,931
1761,3442,1546
1762,3447,310
1763,3447,275
1764,3447,225
1765,3447,313
1766,3448,1044
1767,3451,1336
1768,3453,1164
1769,3455,1204
1770,3458,1280
1771,3461,1163
1772,3462,1700
1773,3464,873
1774,3466,569
1775,3469,294
1776,3469,333
1777,3477,1673
1778,3478,1582
1779,3481,1490
1780,3486,1501
1781,3488,19
1782,3494,385
1783,3494,449
1784,3494,1222
1785,3495,1434
1786,3496,1024
1787,3498,1770
1788,3498,81
1789,3500,974
1790,3503,1024
1791,3503,1289
1792,3504,1499
1793,3506,1688
1794,3508,889
1795,3508,1514
1796,3508,945
1797,3508,1410
1798,3508,1583
1799,3516,30
1800,3517,1590
1801,3520,1656
1802,3540,1003
1803,3546,866
1804,3551,344
1805,3556,228
1806,3556,577
1807,3559,61
1808,3559,647
1809,3559,587
1810,3560,586
1811,3564,272
1812,3565,1130
1813,3569,1002
1814,3569,1660
